term
any age
any cnq
any cob
any du
any ed
any frq
any occ
any rp
awr leg
awr serv
ch age
ch perp
ch rp
dv age
dv cob
dv du
dv ed
dv lim
dv occ
ipv age
ipv cnq
ipv cob
ipv comm
ipv du
ipv ed
hlth ehis al3e$dv
hlth ehis al3i$dv
hlth ehis am7sa
hlth ehis am7sh
hlth ehis bm1e$dv
hlth ehis bm1i$dv
hlth ehis fv3e$dv
hlth ehis fv3e$dv
hlth ehis hc2
hlth ehis hc3
hlth ehis mh1e$dv
hlth ehis mh1i$dv
hlth ehis pe2e$dv
hlth ehis pe2e$dv
hlth ehis pe3e$dv
hlth ehis sk3e$dv
hlth ehis sk3e$dv
hlth ehis sk3i$dv
hlth ehis sk3i$dv
hsw ij svhos
hsw ij svnia
hsw ij svsha
icw car 01
icw car 02
icw pov 03
ilc camdforg0
ilc camdothg0
ilc camnforall
ilc camnforg0
ilc camnothall
ilc camnothg0
ilc caparents
ilc chmd01
ilc chmd02
ilc chmd03
ilc chmd04
ilc chsb01
ilc chsb02
ilc di11 r
ilc di11g
ilc di11h
ilc di11i
ilc di12
ilc di12b
ilc di12c
ilc di18
ilc hch16$dv 2262
ilc hch17$dv 2261
ilc hch18$dv 2263
ilc hch19$dv 2264
ilc igtp03
ilc igtp04
ilc iw02$dv 2665
ilc iw04
ilc iw06
ilc iw07
ilc li02$dv 548
ilc li11$dv 2662
ilc li12
ilc li13
ilc li21$dv 2663
ilc li22$dv 2664
ilc li33$dv 1983
ilc li34$dv 1982
ilc li48
ilc li70
ilc lk11
ilc lvhd01
ilc lvhd02
ilc lvhd03
ilc lvhd04
ilc lvhd06
ilc lvhl11n$dv 1181
ilc lvhl21n
ilc lvhl23n
ilc lvhl30$dv 1323
ilc lvhl36
ilc lvho03h
ilc lvho04d
ilc lvho04n
ilc lvho05a$dv 1185
ilc lvho05a$dv 2685
ilc lvho05c
ilc lvho05d
ilc lvho07 r
ilc lvho07b
ilc lvho07c
ilc lvho07d
ilc lvho08b
ilc lvho50c
ilc lvho50d
ilc lvph01
ilc lvph02h
ilc lvph03
ilc lvph05
ilc lvps08$dv 1041
ilc lvps20
ilc mdes03 r
ilc mdho06a$dv 1184
ilc mdho06d
ilc mdho06q
ilc mdsd07$dv 2621
ilc peps01n$dv 1161
ilc peps07
ilc peps11n
ilc peps13n
a
q
ac
h$dv
itsps$dv
lfsa ergaed$dv 319
lfsa ewpeve$dv 604
lfsa ewpnig$dv 605
lfsa ewpsat$dv 606
lfsa ewpsun$dv 607
lfso 10fvaredu$dv 609
d3dens
ipr da
ipr dapop
ipr dfa
ipr dfapop
ipr dr
nama 10r 3empers$dv 1564
nama 10r 3gdp$dv 1562
nama 10r 3gva$dv 1563
orch grapes3
orch olives1
orch olives2
orch olives3
orch total
quarterly
ac catnmbr
dnggood
emplo s
ent
expend
pa csb
city
nca
nty
trset
vans
consgmt
quartal
total
line sp
lvlcros
tracks
traff
nbcar
nbpass
speed
hauseat
at
be
bg
cz
dk
ee
el
fi
hr
hu
ie
li
lt
lu
mk
no
pt
ro
sk
tr
lu
lv
mk
no
pt
ro
si
sk
tr
bg
cz
dk
ee
el
fi
hr
hu
ie
lt
tag00101
tag00102
tag00103
tag00120
tag00121
tag00122
tag00123
tag00124
tec00097
tec00104
tec00105
tec00106
tec00107
tec00110
tec00112
tec00113
tec00114
tec00115
tec00116
tec00118
tec00120
tec00121
tec00127
tec00131
tec00132
teibs010
teibs020
teibs030
teibs040
teics
teiet010
teiet020
teiet030
teiet040
teiet050
teiet060
teiet070
teiet110
teiet120
teiet130
teiet140
teiet150
teiet160
teiet170
tin00101
tin00102
tin00103
tin00110
tin00111
tin00116
tin00127
tin00134
tin00140
tin00171
tin00172
tin00173
tin00174
tin00175
tin00176
tin00180
tin00181
tin00185
tin00186
tin00195
tin00196
11
12
13
20
10
20
30
10
10
20
30
40
50
21
15
18
20
21
30
40
50
40
20
30
40
50
60
70
90
20
30
40
50
51
60
62
70
10
13
14
15
16
